nct_id,Type,Value,Action
NCT01705548,Tag,Musella Foundation,Remove
NCT02239952,Tag,Musella Foundation,Remove
NCT01535183,Tag,Musella Foundation,Remove
NCT02255461,Tag,Musella Foundation,Remove
NCT01977677,Tag,Musella Foundation,Remove
NCT03212742,Tag,Musella Foundation,Remove
NCT01985971,Tag,Musella Foundation,Remove
NCT01939574,Tag,Musella Foundation,Remove
NCT02125786,Tag,Musella Foundation,Remove
NCT03213665,Tag,Musella Foundation,Remove
NCT02286531,Tag,Musella Foundation,Remove
NCT02296580,Tag,Musella Foundation,Remove
NCT02743442,Tag,Musella Foundation,Remove
NCT01642342,Tag,Musella Foundation,Remove
NCT02313272,Tag,Musella Foundation,Remove
NCT02010606,Tag,Musella Foundation,Remove
